winter		mùa đông		win trơ
introduced	giới thiệu		in trơ điu
secretary	thư ký			sec khơ trơ ri
prepared	chuẩn bị		pờ pe
order		lệnh/yêu cầu/đặt	ó đờ
reduce		giảm			rùy điu
amount		số lượng		a mao on
beer		bia			pi r
perform		biểu diễn		pớ phom
such		như vậy			sot ch
stage		sân khấu/giai đoạn	s tây ch
forced		ép buộc			phua s t
Italy		Ý			ít ly
become		trở thành 	 	bì khăm
door		cửa			tro r
live		sống 			líp v
arrive		đi đến và có mặt	ờ roai
award		giải thưởng		ờ guốt
property	tài sản			pó pơ ty 
ever		chưa			é vơ
cover		che			khó vờ
journey		cuộc hành trình		gió ni
increase	tăng			in khùy s
right away	ngay lập tức		roai ờ guây
fits		vừa vặn 			phít s
rain		mưa			roen
lawyer		luật sư			lói ơ
beliveve	tin tưởng		pờ li v
apply		áp dụng			áp plai
allow		cho phép		ờ lao
though		mặc dù			trâu
searches	tìm kiếm		sơ chợt ch
cutural		văn			khố trồ
improve		cải thiện		ìm pờ ru
wake		đánh thức		guếc kh
receives	nhận			ruy sịp
prevent		ngăn chặn		pớ vèn
change		thay đổi		chen ch
opportunity	cơ hội			óp pơ trú nơ đi
raise		nuôi			ruây s



