spell		đánh vần 	ss peo
door		cửa chính	đoa
waste basket	thùng rác	guâys pécskịt
eraser		tẩy		ì ruấy sờ
couch		ghế sa lông	khao
chair		ghế		che rờ
lamp		đèn điện	lem
stereo		radio		sté rio
bookshelf	kệ sách		kệ sách
engineer	kỹ sư		én di nia
grade		khối		ruây
floor		tầng		phờ lo
get up		thức dậy
dressed		mặc		troets
brush		chải		ruớt
teeth		răng		trin
breakfast	ăn sáng		pờ roách phớt
read		đọc		ruých
volleyball	bóng chuyền	vó lay bo
doesn't		không làm	đớ dần
timetalbe	thời khóa biểu	tham table
have		có		hép
math		toán		map
		 
